frame,track_id,x1,y1,x2,y2
92,12,373,176,405,258
92,8,490,160,518,232
92,6,462,158,491,233
93,23,243,57,257,91
93,22,299,189,326,262
93,14,571,165,601,252
93,12,376,176,408,258
93,8,494,159,522,231
93,6,466,155,494,229
94,23,241,57,255,91
94,22,305,190,334,264
94,14,573,164,603,250
94,12,378,176,410,258
94,8,497,158,525,230
94,6,469,153,497,227
95,23,238,57,253,92
95,22,308,192,338,266
95,14,574,163,605,249
95,12,378,176,411,258
95,8,499,158,527,229
95,6,472,153,499,226
96,23,235,58,250,93
96,22,312,192,341,266
96,14,576,162,607,247
96,12,377,176,412,258
96,8,502,158,528,229
96,6,475,153,503,226
97,23,233,58,248,93
97,22,320,194,349,269
97,14,579,159,608,244
97,12,378,175,412,257
97,8,504,156,530,226
97,6,478,152,506,224
98,23,231,59,246,93
98,22,326,196,355,271
98,14,581,157,609,241
98,12,380,176,413,257
98,8,507,154,532,225
98,6,482,150,509,222
99,23,228,59,244,94
99,22,331,196,359,272
99,14,583,156,610,240
99,12,381,176,412,257
99,8,509,153,534,223
99,6,485,149,512,221
100,23,224,59,240,94
100,22,340,198,368,273
100,14,587,155,614,238
100,12,378,176,410,257
100,8,513,152,538,221
100,6,489,148,515,220
101,23,222,60,237,95
101,22,347,199,376,274
101,14,589,153,616,235
101,12,377,176,410,256
101,8,515,151,541,221
101,6,492,148,518,219
102,23,220,60,235,96
102,22,351,199,382,275
102,14,590,152,619,233
102,12,376,175,410,256
102,8,517,149,543,219
102,6,494,146,520,217
103,23,217,60,232,95
103,22,356,200,386,276
103,14,592,151,621,232
103,12,377,175,410,255
103,8,520,149,546,218
103,6,497,143,523,213
104,23,214,61,229,96
104,22,366,195,397,275
104,14,596,151,625,230
104,12,376,173,408,251
104,8,525,148,550,216
104,6,501,143,527,213
105,23,211,62,227,97
105,14,599,148,627,227
105,8,528,147,553,215
105,6,505,142,532,212
106,23,206,62,221,97
106,22,387,195,414,276
106,14,604,145,630,224
106,12,378,175,408,255
106,8,533,146,558,213
106,6,509,142,535,210
107,23,203,63,218,98
107,22,395,200,421,279
107,14,608,144,634,222
107,12,378,175,408,254
107,8,537,145,561,212
107,6,512,141,538,209
108,23,200,63,215,98
108,22,401,202,429,280
108,14,609,144,635,222
108,12,378,175,407,254
108,8,540,144,564,211
108,6,515,139,541,207
109,23,196,64,211,100
109,14,612,142,639,220
109,12,375,174,404,252
109,8,544,143,569,210
109,6,518,139,545,207
110,23,194,64,209,100
110,14,615,141,642,217
110,12,374,174,402,253
110,8,546,142,571,208
110,6,522,139,548,206
111,23,192,64,208,100
111,14,617,140,645,216
111,12,373,175,402,253
111,8,549,142,573,208
111,6,525,138,551,205
112,23,191,65,207,101
112,14,619,139,647,215
112,12,371,175,400,253
112,8,552,142,576,207
112,6,528,136,554,203
113,23,189,65,205,102
113,14,622,138,650,213
113,12,370,176,399,254
113,8,556,141,580,206
113,6,531,136,556,202
114,27,451,206,481,286
114,23,185,66,201,102
114,14,627,136,653,211
114,12,369,177,398,255
114,8,560,141,585,205
114,6,537,135,562,202
115,27,459,207,487,286
115,23,183,66,198,103
115,14,630,135,655,209
115,12,369,178,398,256
115,8,563,140,588,204
115,6,539,135,565,202
116,27,466,206,498,288
116,23,181,67,196,104
116,14,633,134,658,208
116,12,369,179,399,257
116,8,566,139,590,203
116,6,542,134,567,201
117,27,469,207,504,290
117,23,178,67,194,104
117,14,635,134,660,207
117,12,370,180,400,257
117,8,569,138,593,202
117,6,543,132,569,199
118,28,717,219,756,313
118,27,481,208,513,289
118,23,175,68,191,105
118,14,639,133,664,206
118,12,370,180,401,258
118,8,574,137,598,200
118,6,548,131,574,197
119,28,705,218,749,314
119,27,490,210,520,290
119,23,173,68,190,105
119,14,641,131,667,204
119,12,371,181,401,259
119,8,578,136,603,199
119,6,551,130,578,197
120,28,698,219,742,312
120,27,497,211,528,293
120,23,170,68,188,106
120,14,643,130,670,203
120,12,371,181,400,260
120,8,580,136,605,199
120,6,554,129,581,196
121,28,687,210,729,304
121,27,507,213,538,295
121,23,166,69,182,106
121,14,648,129,675,202
121,12,372,181,401,260
121,8,585,134,609,197
121,6,559,128,584,194
122,28,673,205,718,303
122,27,517,213,546,294
122,23,163,70,178,107
122,14,652,129,677,201
122,12,373,182,402,260
122,8,588,133,612,196
122,6,562,127,587,192
123,28,663,207,707,303
123,27,528,214,561,297
123,23,158,71,173,108
123,14,657,127,681,198
123,12,376,181,405,260
123,8,593,132,617,195
123,6,567,127,593,192
124,28,655,208,696,300
124,27,533,215,569,300
124,23,156,71,170,108
124,14,661,126,684,198
124,12,377,181,406,259
124,8,595,131,619,194
124,6,570,126,596,191
125,28,645,208,685,298
125,27,540,216,575,300
125,23,153,72,169,109
125,14,663,126,686,198
